Row Number,Artist Names,Track Names
319,"Travis Scott, The 1975, Big Sean",Don't Play (feat. The 1975 & Big Sean)
320,"Young Thug, Travis Scott",pick up the phone
321,"Travis Scott, Lil Uzi Vert, Kanye West",Watch (feat. Lil Uzi Vert & Kanye West)
322,Polo G,Martin & Gina
323,Juice WRLD,All Girls Are The Same
324,Jutes,Sideshow
325,lil aaron,Dark Matter
326,shinigami,heart attack
327,Polo G,21
328,"WizKid, Burna Boy",Ginger (feat. Burna Boy)
329,"Drake, Rihanna",Take Care
330,Eminem,Beautiful
331,Kid Cudi,Up Up & Away
332,Chief Keef,Faneto
333,"POORSTACY, Travis Barker",Nothing Left
334,"100 gecs, Laura Les, Dylan Brady",hand crushed by a mallet
335,Evilmane,Alone
336,SAIAH,Cold
337,"sober rob, Trevor Daniel",Gone
338,Rezcoast Grizz,Lost You
339,"100 gecs, Laura Les, Dylan Brady",money machine
340,"100 gecs, Laura Les, Dylan Brady",stupid horse
341,"100 gecs, Laura Les, Dylan Brady",ringtone
342,Bobby Raps,Believe the Lie
343,"iann dior, Bernard Jabs",molly
344,Daniel Caesar,Who Hurt You?
345,SAINt JHN,Gorgeous
346,SEBii,Butterfly Bankai
347,"Zaini, vict molina, Keagan",Joke
348,"100 gecs, Count Baldor, GFOTY",stupid horse (Remix) [feat. GFOTY & Count Baldor]
349,100 gecs,toothless
350,100 gecs,sympathy 4 the grinch
351,"Drake, Playboi Carti",Pain 1993 (with Playboi Carti)
352,Drake,Trust Issues
353,brakence,fuckboy
354,Playboi Carti,Long Time - Intro
355,The Unlikely Candidates,Follow My Feet
356,Nameless,Asu No Yozora Shoukaihan
357,Dro Kenji,Houdini
358,Drippin So Pretty,Green Dot
359,Freddie Sunshine,Sun and The Moon
360,Effy,Bonita
361,POORSTACY,Hills Have Eyes
362,"Playboi Carti, Future",Teen X (feat. Future)
363,Playboi Carti,King Vamp
364,brakence,fwb
365,brakence,rosier/punk2
366,"Yung Bleu, Drake",You’re Mines Still (feat. Drake)
367,AG Club,Hngover
368,3rem,Tongue Tied
369,"3rem, C05",LOVERBOY
370,93FEETOFSMOKE,fruit2 / fleas
371,93FEETOFSMOKE,~^*+ 100k +*^~
372,BLESSED,Memoirs of the Melancholy
373,Lance Free,Clementine
374,"Treyarch Sound, Brian Tuey, James McCawley, Kevin Sherwood",115
375,All Time Low,"Dear Maria, Count Me In"
376,Bryson Tiller,Exchange
377,Machine Gun Kelly,title track
378,Machine Gun Kelly,drunk face
379,"Machine Gun Kelly, Halsey",forget me too (feat. Halsey)
380,"T-Pain, Yung Joc",Buy U a Drank (Shawty Snappin') (feat. Yung Joc)
381,"T-Pain, Mike Jones",I'm N Luv (Wit a Stripper) (feat. Mike Jones)
382,Shakewell,Late Night
383,ElyOtto,SugarCrash!
384,"Alex Skrindo, Miza",Thinkin'
385,Vicetone,Walk Thru Fire
386,Oasis,Don't Look Back In Anger
387,Michael Wyckoff,Bone Theme
388,diveliner,Closer
389,"Sewerperson, JabariOnTheBeat",Rsvp
390,"Roderick Porter, Jay Portal",Unconditional
391,SpaceMan Zack,Drugs in the Rain
392,Pseudo,Demons in the Attic
393,TOKYO’S REVENGE,Drug Lullaby
394,cxltgod,FTC
395,"abbot, Gordon Snyder, patchymate",Oxygen
396,"Sorry X, 916frosty",Subject to Change
397,LocateEmilio,It Is What It Is
398,OMNIPONY,NO KIDDING!
399,"food house, Gupi, Fraxiom",51129
400,"food house, Gupi, Fraxiom",mos thoser
401,"Infraction, Aim To Head",Falling
402,Kyle The Hooligan,On My Own
403,"Netrum, Halvorsen",Shivers
404,"Tyla Yaweh, Gunna, Wiz Khalifa",All the Smoke (feat. Gunna & Wiz Khalifa)
405,"SEGA SOUND TEAM, ZENTA",Red Radical Rage
406,Shamir,Ocean Eyes
407,Shamir,Other Side
408,Teddy,Foreign Banz
409,Mooski,Track Star
410,benny mayne,THE WORST
411,raspy,meadow
412,KYLE,Ups & Downs
413,"Tory Lanez, Rich The Kid, Lil Wayne",TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix
414,Aizayah Hills,Fallout
415,Dylan Brady,Of Course I Still Love You
416,"KILLY, Y2K",OH NO
417,Dylan Brady,I'll Make You Miss Me All The Time
418,Senses,I Don't Wanna Change
419,"Capoxxo, Oaf1, Dreamcache",Perfect
420,88GLAM,Baby Bro
421,"88GLAM, NAV",Bali
422,"gravehours, guardin, abbot",FRIENDS
423,"juno, AViT",insomnia
424,Juice WRLD,Black & White
425,Juice WRLD,Lean Wit Me
426,Juice WRLD,Armed And Dangerous
427,"Juice WRLD, Seezyn",Hide (feat. Seezyn)
428,"Juice WRLD, Lil Uzi Vert",Wasted (feat. Lil Uzi Vert)
429,Juice WRLD,Robbery
430,Juice WRLD,Hear Me Calling
431,Juice WRLD,Fast
432,Juice WRLD,Maze
433,"Mothica, CMTEN",VICES - Cmten Remix
434,"Jay Eskar, Heleen",Just Dance
435,Naïka,Sauce
436,"Jay Eskar, Scarlett",Deja Vu
437,Jay Eskar,You & I
438,"Syn Cole, kirstin",Got the Feeling
439,"lil aaron, Kim Petras",ANYMORE
440,diveliner,Gaslight!
441,"lil aaron, Kim Petras, Laura Les",Anymore - Laura Les Remix
442,Laura Les,Haunted
443,PinkPantheress,Break it off
444,"KREAM, Maia Wright",Decisions (feat. Maia Wright)
445,"Nicky Romero, Deniz Koyu, Walk Off the Earth",Paradise
446,Drainpuppet,My Chakras Are Fast and Hype
447,juno,obsessed
448,juno,karma
449,Blbrri,lavender lover
450,safehold,Too Far Gone
451,"Maxd, LoneMoon",Stuart
452,underscores,pay attention!
453,PnB Rock,Need Somebody
454,"DJ Khaled, Nas, JAY-Z, James Fauntleroy","SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) - Harmonies by The Hive"
455,SyKo,#BrooklynBloodPop!
456,"Jakkyboí, Yung Scuff",dying 2 kno
457,"Dead Robot, Saphir",Wings Apart
458,Prettyboy D-O,Same Energy
459,Prettyboy D-O,Jungle Justice - A COLORS SHOW
460,"Prettyboy D-O, WANI",Mentally
461,"JELEEL!, Prettyboy D-O",Sinner!
462,JELEEL!,Hasta la Vida!
463,Travis Scott,wonderful
464,"Ariana Grande, Victoria Monét",MONOPOLY (with Victoria Monét)
465,Tony Velour,Do or Die
466,Lake Vince,TREELINES
467,Surf Curse,Disco
468,Verzache,Needs
469,Tom Odell,Another Love
470,"Trippie Redd, Playboi Carti",Miss The Rage (feat. Playboi Carti)
471,ITSOKTOCRY,i wish the world ended in 2012
472,"Dominic Fike, Kenny Beats",Phone Numbers
473,Jungle,Keep Moving
474,i_o,Castles In The Sky
475,Petit Biscuit,Memories
476,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2)
477,"Spooky Boi, Effy",Crash
478,"Jedwill, camoufly",Garden
479,Lil Tecca,NEVER LEFT
480,"Oklou, A. G. Cook",fall - A. G. Cook Remix
481,"guardin, Ray Toro",i think you're really cool (with Ray Toro)
482,"Juice WRLD, Lil Uzi Vert",Lucid Dreams (feat. Lil Uzi Vert) - Remix
483,"Lil Story, Steven Moses",Danger
484,"vowl., PhiloSofie",need you
485,Marco Luka,do me wrong
486,Kevin Kazi,Christian Dior
487,David Wolves,Touring Test
488,David Wolves,Forget About Me
489,David Wolves,Impossible
490,Teezo Touchdown,Careful
