Row Number,Artist Names,Track Names
467,The Weeknd,Repeat After Me (Interlude)
468,Bon Iver,Skinny Love
469,Off Cuts,Like Crying Mothers
470,"Rihanna, Kanye West, Paul McCartney",FourFiveSeconds
471,"93FEETOFSMOKE, Anxiety Attacks!",Bending to Grow
472,ITSOKTOCRY,i wish the world ended in 2012
473,BROHUG,Stockholm
474,Drake,Trust Issues
475,"gravehours, guardin, abbot",FRIENDS
476,Sevdaliza,Joanna
477,Kanye West,Father Stretch My Hands Pt. 1
478,Kevin LaSean,Racks
479,The Weeknd,Escape From LA
480,Lil Uzi Vert,Baby Pluto
481,N i G H T S,Basic
482,Kanye West,Can't Tell Me Nothing
483,Leo IV,high maintenance
484,"Bon Iver, St. Vincent",Rosyln
485,Kevin Kazi,Christian Dior
486,Laura Les,Haunted
487,100 gecs,sympathy 4 the grinch
488,LIL DUSTY G,Squash
489,88GLAM,Baby Bro
490,RONI,Wasted / Only You
491,"Vicetone, MERŌN",Walk Thru Fire
492,diveliner,Gaslight!
493,"Sewerperson, JabariOnTheBeat",Rsvp
494,"Kanye West, Rick Ross",Devil In A New Dress
495,LocateEmilio,It Is What It Is
496,SpaceMan Zack,Drugs in the Rain
497,"fats'e, jay vee",best of me
498,King Theta,Backwards
499,"93FEETOFSMOKE, WRCKTNGL",Shepherd of the Fog
500,"Travis Scott, The Weeknd",Pray 4 Love (feat. The Weeknd)
501,All Time Low,"Dear Maria, Count Me In"
502,Sevdaliza,Wallflower
503,"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD)
504,"Drake, WizKid, Kyla",One Dance
505,Dylan Brady,Of Course I Still Love You
506,guardin,in my sleep
507,"Afrojack, BROHUG, TITUS, Exlau",Let It Rip - Exlau Remix
508,Yusei,Unrequited Love
509,brakence,rosier/punk2
510,93FEETOFSMOKE,cut the feedback!
511,PinkPantheress,Break it off
512,Kid Cudi,Up Up & Away
513,PnB Rock,My Ex
514,"Future, Drake",Life Is Good (feat. Drake)
515,Pop Smoke,Something Special
516,Lil Tecca,NEVER LEFT
517,93FEETOFSMOKE,LIE SELLER
518,Cults,Always Forever
519,"NAV, Travis Scott",Champion (feat. Travis Scott)
520,ElyOtto,SugarCrash!
521,Regina Spektor,Samson
522,Speng Squire,Sooner Or Later
523,"Travis Scott, Swae Lee, Chief Keef",Nightcrawler (feat. Swae Lee & Chief Keef)
524,"Tm88, Lil Uzi Vert",Slayerr
525,"Maggie Lindemann, Travis Barker",Friends Go (feat. Travis Barker)
526,safehold,Too Far Gone
